Date,GDP_Growth,Inflation_Rate,Unemployment_Rate,Interest_Rate,Consumer_Sentiment,Stock_Index
2024-01-01,2.060943415950886,3.1301715236648473,4.701490409149467,4.033849793533405,104.29019128746184,2999.6480490201466
2024-01-02,1.8006098568298181,3.172278892821327,4.663953904950372,4.075689367438667,106.62391123458579,2999.082515576149
2024-01-03,2.167301044972664,3.2390775297514067,4.876512394683705,4.121003001339203,106.84479025892564,2999.6172138318316
2024-01-04,2.21392277688987,3.122027434239033,4.880078503166102,4.094834792738181,101.42808355006,2999.970100640471
2024-01-05,1.6441941756703924,3.217847319523497,5.01470339744885,4.067359790538224,103.60153440345358,2998.666685141397
2024-01-06,1.7825464979962597,3.1434266476957973,4.985070773620864,4.066081093000314,106.89586958882771,2999.8910826919355
2024-01-07,2.0771189293571743,3.1624858653033274,4.798762938959797,4.064049036954781,105.14792920401769,2999.8989501505334
2024-01-08,1.99685550398096,3.261369910290636,4.630543520533803,4.055535049677123,104.47321632018914,2998.890423216216
2024-01-09,2.0652791545557747,2.983237023929122,4.767939752905039,4.213407328790544,103.59703034473542,3000.181952906012
2024-01-10,1.9065456248174244,3.056966791724784,4.847076342505739,4.1139869599586225,103.21331246749759,3000.9107146540214
2024-01-11,2.2615261670633044,3.042411150522771,4.782920067427004,4.14320571174347,104.50468740157422,2999.749598524957
2024-01-12,2.2496717420074117,2.9612272563256643,4.725344672199973,4.074140941590437,103.36967195686623,3001.6305458994116
2024-01-13,2.115758389446553,3.1306639414571658,4.848813444760057,4.088994821338695,103.73428582186384,3002.3934453577754
2024-01-14,2.3364089978956892,3.2772764756226573,4.734195035529377,4.062283670096032,103.92053154989011,3002.48768767241
2024-01-15,2.2128382514533844,3.1776274235288424,4.714543122122812,3.9650156383172765,102.34996699725599,3004.182679933352
2024-01-16,1.9558181549814457,3.229616506309679,4.854491968371056,4.028311355820513,104.71204651819532,3004.447084783084
